"id","icao","iata","name","city","municipality","country_id/id","elevation","latitude","longitude","tz","lid"
"aerodrome_00AA","00AA","","Aero B Ranch Airport","Leoti","Kansas","base.us","3435","38.70402","-101.47391","America/Chicago","00AA"
"aerodrome_00AK","00AK","","Lowell Field","Anchor Point","Alaska","base.us","252","59.94889","-151.69222","America/Anchorage","00AK"
"aerodrome_00AL","00AL","","Epps Airpark","Harvest","Alabama","base.us","820","34.86481","-86.77028","America/Chicago","00AL"
"aerodrome_00AN","00AN","","Katmai Lodge Airport","King Salmon","Alaska","base.us","80","59.09347","-156.45583","America/Anchorage","00AN"
"aerodrome_00AR","00AR","","Arland Airport","Bennington","Kansas","base.us","1352","38.96965","-97.60156","America/Chicago","00AR"
"aerodrome_00AS","00AS","","Fulton Airport","Alex","Oklahoma","base.us","1100","34.9428","-97.81802","America/Chicago","00AS"
"aerodrome_00CA","00CA","","Goldstone /Gts/ Airport","Barstow","California","base.us","3038","35.35497","-116.88521","America/Los_Angeles","00CA"
"aerodrome_00CL","00CL","","Williams Ag Airport","Biggs","California","base.us","87","39.42719","-121.76343","America/Los_Angeles","00CL"
"aerodrome_00FA","00FA","","Grass Patch Airport","Bushnell","Florida","base.us","53","28.64555","-82.21898","America/New_York","00FA"
"aerodrome_00FL","00FL","","River Oak Airport","Okeechobee","Florida","base.us","35","27.23088","-80.96923","America/New_York","00FL"
"aerodrome_00GA","00GA","","Lt World Airport","Lithonia","Georgia","base.us","700","33.7675","-84.06833","America/New_York","00GA"
"aerodrome_00ID","00ID","","Delta Shores Airport","Clark Fork","Idaho","base.us","2064","48.14528","-116.21444","America/Los_Angeles","00ID"
"aerodrome_00IG","00IG","","Goltl Airport","Mcdonald","Kansas","base.us","3359","39.72403","-101.39599","America/Chicago","00IG"
"aerodrome_00IL","00IL","","Hammer Airport","Polo","Illinois","base.us","840","41.97836","-89.56039","America/Chicago","00IL"
"aerodrome_00IS","00IS","","Hayenga's Cant Find Farms Airport","Kings","Illinois","base.us","820","40.0256","-89.12286","America/Chicago","00IS"
"aerodrome_00KS","00KS","","Hayden Farm Airport","Gardner","Kansas","base.us","1100","38.72779","-94.93052","America/Chicago","00KS"
"aerodrome_00KY","00KY","","Robbins Roost Airport","Stanford","Kentucky","base.us","1265","37.40944","-84.61972","America/New_York","00KY"
"aerodrome_00LS","00LS","","Lejeune Airport","Esterwood","Louisiana","base.us","12","30.13628","-92.42936","America/Chicago","00LS"
"aerodrome_00MD","00MD","","Slater Field","Federalsburg","Maryland","base.us","45","38.75706","-75.75382","America/New_York","00MD"
"aerodrome_00MN","00MN","","Battle Lake Municipal Airport","Battle Lake","Minnesota","base.us","1365","46.29996","-95.70032","America/Chicago","00MN"
"aerodrome_00NC","00NC","","North Raleigh Airport","Louisburg","North Carolina","base.us","348","36.08515","-78.37139","America/New_York","00NC"
"aerodrome_00NY","00NY","","Weiss Airfield","West Bloomfield","New York","base.us","1000","42.89586","-77.49516","America/New_York","00NY"
"aerodrome_00OK","00OK","","Gull Bay Landing Airport","Sandsprings","Oklahoma","base.us","960","36.19892","-96.21768","America/Chicago","00OK"
"aerodrome_00PN","00PN","","Ferrell Field","Mercer","Pennsylvania","base.us","1301","41.2995","-80.21111","America/New_York","00PN"
"aerodrome_00SC","00SC","","Flying O Airport","Sumter","South Carolina","base.us","150","34.00944","-80.26722","America/New_York","00SC"
"aerodrome_00SD","00SD","","Homan Field","Gary","South Dakota","base.us","1590","44.80916","-96.4989","America/Chicago","00SD"
"aerodrome_00TS","00TS","","Alpine Range Airport","Everman","Texas","base.us","670","32.60794","-97.24232","America/Chicago","00TS"
"aerodrome_00TT","00TT","","Nowhere Airport","Goodlett","Texas","base.us","1752","34.51661","-99.93694","America/Chicago","00TT"
"aerodrome_00TX","00TX","","Delva Field","Van","Texas","base.us","545","32.54445","-95.67313","America/Chicago","00TX"
"aerodrome_00VA","00VA","","Vaughan Airport","Alton","Virginia","base.us","551","36.576","-78.99917","America/New_York","00VA"
"aerodrome_00VI","00VI","","Groundhog Mountain Airport","Hillsville","Virginia","base.us","2680","36.66333","-80.4995","America/New_York","00VI"
"aerodrome_00WA","00WA","","Howell Airport","Longbranch","Washington","base.us","150","47.17843","-122.7718","America/Los_Angeles","00WA"
"aerodrome_00WI","00WI","","Northern Lite Airport","Waupaca","Wisconsin","base.us","860","44.30429","-89.05011","America/Chicago","00WI"
"aerodrome_00WN","00WN","","Hawks Run Airport","Asotin","Washington","base.us","2900","46.25","-117.249","America/Los_Angeles","00WN"
"aerodrome_00WV","00WV","","Lazy J Aerodrome","Beverly","West Virginia","base.us","2060","38.82889","-79.86611","America/New_York","00WV"
"aerodrome_00XA","00XA","","Weeski Ranch Airport","Hempstead","Texas","base.us","271","30.22404","-96.01415","America/Chicago","00XA"
"aerodrome_01AL","01AL","","Ware Island Airport","Clanton","Alabama","base.us","344","32.94596","-86.51387","America/Chicago","01AL"
"aerodrome_01AN","01AN","","Mc Hone Heights Airport","Wasilla","Alaska","base.us","610","61.64903","-149.33903","America/Anchorage","01AN"
"aerodrome_01CL","01CL","","Swansboro Country Airport","Placerville","California","base.us","2594","38.7999","-120.73438","America/Los_Angeles","01CL"
