"id","code","aerodrome_id/id","length","length_uom_id/id","width","width_uom_id/id"
"runway_00AL_01","01","aerodrome_00AL","701.04","uom.product_uom_meter","60.96","uom.product_uom_meter"
"runway_00AL_19","19","aerodrome_00AL","701.04","uom.product_uom_meter","60.96","uom.product_uom_meter"
"runway_00AN_21","21","aerodrome_00AN","1376.78","uom.product_uom_meter","18.29","uom.product_uom_meter"
"runway_00AS_19","19","aerodrome_00AS","441.96","uom.product_uom_meter","18.29","uom.product_uom_meter"
"runway_00CA_04","04","aerodrome_00CA","1828.8","uom.product_uom_meter","24.38","uom.product_uom_meter"
"runway_00CA_22","22","aerodrome_00CA","1828.8","uom.product_uom_meter","24.38","uom.product_uom_meter"
"runway_00FA_08","08","aerodrome_00FA","975.36","uom.product_uom_meter","30.48","uom.product_uom_meter"
"runway_00FA_26","26","aerodrome_00FA","975.36","uom.product_uom_meter","30.48","uom.product_uom_meter"
"runway_00FL_12","12","aerodrome_00FL","1246.63","uom.product_uom_meter","30.48","uom.product_uom_meter"
"runway_00FL_30","30","aerodrome_00FL","1246.63","uom.product_uom_meter","30.48","uom.product_uom_meter"
"runway_00GA_09","09","aerodrome_00GA","792.48","uom.product_uom_meter","24.38","uom.product_uom_meter"
"runway_00GA_27","27","aerodrome_00GA","792.48","uom.product_uom_meter","24.38","uom.product_uom_meter"
"runway_00ID_08","08","aerodrome_00ID","1005.84","uom.product_uom_meter","12.19","uom.product_uom_meter"
"runway_00ID_26","26","aerodrome_00ID","1005.84","uom.product_uom_meter","12.19","uom.product_uom_meter"
"runway_00ID_11","11","aerodrome_00ID","822.96","uom.product_uom_meter","12.19","uom.product_uom_meter"
"runway_00ID_29","29","aerodrome_00ID","822.96","uom.product_uom_meter","12.19","uom.product_uom_meter"
"runway_00IL_18","18","aerodrome_00IL","762.0","uom.product_uom_meter","22.86","uom.product_uom_meter"
"runway_00IL_36","36","aerodrome_00IL","762.0","uom.product_uom_meter","22.86","uom.product_uom_meter"
