"id","icao_prefixes"
"base.ae","OM"
"base.af","OA"
"base.ag","TA"
"base.ai","TQ"
"base.al","LA"
"base.am","UD UGE"
"base.ao","FN"
"base.aq","AA NZI SAY"
"base.ar","SAA SAB SAC SAD SAE SAF SAH SAM SAN SAO SAR SAS SAT SAV SAZ"
"base.as","NST"
"base.at","LO"
"base.au","TC YA YB YC YD YE YF YG YH YI YJ YK YL YM YN YO YP YQ YR YS YT YU YV YW YX YY YZ"
"base.az","UB"
"base.ba","LQ"
"base.bb","TB"
"base.bd","VG"
"base.be","EB"
"base.bf","DF"
"base.bg","LB"
"base.bh","OB"
"base.bi","HB"
"base.bj","DB"
"base.bm","TX"
"base.bn","WBA WBS"
"base.bo","SL"
"base.br","SB SD SI SJ SN SS SW"
"base.bs","MY"
"base.bt","VQ"
"base.bw","FB"
"base.by","UMB UMD UMG UMI UML UMM UMN UMO"
"base.bz","MZ"
"base.ca","C"
"base.cd","FZ"
"base.cf","FE"
"base.cg","FC"
"base.ch","LS"
"base.ci","DI"
"base.ck","NC"
"base.cl","SCA SCC SCD SCE SCF SCH SCI SCJ SCK SCL SCM SCN SCO SCQ SCS SCT SCU SCV SCX SCY SCZ"
"base.cm","FK"
"base.cn","ZB ZG ZH ZJ ZL ZP ZS ZU ZW ZY"
"base.co","SK"
"base.cr","ME ML MR"
"base.cu","MU"
"base.cv","GV"
"base.cy","LC"
"base.cz","LK"
"base.de","ED ET RH"
"base.dj","HD"
"base.dk","EK"
"base.dm","TD"
"base.do","MD"
"base.dz","DA"
"base.ec","SE"
"base.ee","EE"
"base.eg","HE"
"base.er","HH"
"base.es","GC GE LE"
"base.et","HA"
"base.fi","EF"
"base.fj","NFC NFF NFK NFM NFN NFO NFS NFV"
"base.fk","SF"
"base.fm","PTK PTP PTS PTY"
"base.fr","LF"
"base.ga","FO"
"base.uk","EGB EGC EGD EGE EGF EGG EGH EGK EGL EGM EGO EGP EGQ EGS EGT EGU EGV EGW EGX"
"base.gd","TG"
"base.ge","UGK UGM UGS UGT"
"base.gf","SOC SOG SOO"
"base.gh","DG"
"base.gi","LX"
"base.gl","BG"
"base.gm","GB"
"base.gn","GU"
"base.gq","FG"
"base.gr","LG"
"base.gt","MG"
"base.gu","PGU"
"base.gw","GG"
"base.gy","PKS SY"
"base.hk","VH"
"base.hn","MH MTR"
"base.hr","LD"
"base.ht","MTC MTJ MTP"
"base.hu","LH"
"base.id","WA WI WR"
"base.ie","EI"
"base.il","LLB LLF LLH LLI LLK LLM LLN LLO LLP LLR LLY"
"base.in","VA VE VI VO"
"base.io","FJ"
"base.iq","OR"
"base.ir","OI"
"base.is","BI"
"base.it","LI"
"base.jm","MK"
"base.jo","OJ"
"base.jp","RJ RO"
"base.ke","HK"
"base.kg","UAF UC"
"base.kh","VD"
"base.ki","NGA NGB NGK NGM NGN NGO NGT NGU PC PL"
"base.kn","TK"
"base.kp","ZK"
"base.kr","RK"
"base.kw","OK"
"base.ky","MW"
"base.kz","UAA UAC UAD UAI UAK UAO UAR UAS UAT UAU"
"base.la","VL"
"base.lb","OL"
"base.lc","TL"
"base.lk","VC"
"base.lr","GL"
